,Symbol,Name,Sector,Date,Price
121,CL,Colgate-Palmolive,Consumer Staples,2023-09-15 00:00:00,73.16999816894531
122,CMCSA,Comcast Corp.,Consumer Discretionary,2023-09-15 00:00:00,45.34000015258789
123,CMA,Comerica Inc.,Financials,2023-09-15 00:00:00,43.56999969482422
124,CAG,Conagra Brands,Consumer Staples,2023-09-15 00:00:00,28.940000534057617
125,CXO,Concho Resources,Energy,2023-09-15 00:00:00,
126,COP,ConocoPhillips,Energy,2023-09-15 00:00:00,123.56999969482422
127,ED,Consolidated Edison,Utilities,2023-09-15 00:00:00,91.48999786376952
128,STZ,Constellation Brands,Consumer Staples,2023-09-15 00:00:00,260.3399963378906
129,GLW,Corning Inc.,Information Technology,2023-09-15 00:00:00,31.229999542236328
130,COST,Costco Wholesale Corp.,Consumer Staples,2023-09-15 00:00:00,556.3599853515625
131,COTY,"Coty, Inc",Consumer Staples,2023-09-15 00:00:00,11.90999984741211
132,CCI,Crown Castle International Corp.,Real Estate,2023-09-15 00:00:00,98.41000366210938
133,CSRA,CSRA Inc.,Information Technology,2023-09-15 00:00:00,
134,CSX,CSX Corp.,Industrials,2023-09-15 00:00:00,30.850000381469727
135,CMI,Cummins Inc.,Industrials,2023-09-15 00:00:00,235.3699951171875
136,CVS,CVS Health,Consumer Staples,2023-09-15 00:00:00,70.87000274658203
137,DHI,D. R. Horton,Consumer Discretionary,2023-09-15 00:00:00,112.37000274658205
138,DHR,Danaher Corp.,Health Care,2023-09-15 00:00:00,255.25
139,DRI,Darden Restaurants,Consumer Discretionary,2023-09-15 00:00:00,150.05999755859375
140,DVA,DaVita Inc.,Health Care,2023-09-15 00:00:00,98.33000183105467
141,DE,Deere & Co.,Industrials,2023-09-15 00:00:00,412.1099853515625
142,DAL,Delta Air Lines Inc.,Industrials,2023-09-15 00:00:00,39.900001525878906
143,XRAY,Dentsply Sirona,Health Care,2023-09-15 00:00:00,35.540000915527344
144,DVN,Devon Energy Corp.,Energy,2023-09-15 00:00:00,49.68000030517578
145,DLR,Digital Realty Trust Inc,Real Estate,2023-09-15 00:00:00,128.75
146,DFS,Discover Financial Services,Financials,2023-09-15 00:00:00,89.73999786376953
147,DISCA,Discovery Communications-A,Consumer Discretionary,2023-09-15 00:00:00,
148,DISCK,Discovery Communications-C,Consumer Discretionary,2023-09-15 00:00:00,
149,DISH,Dish Network,Consumer Discretionary,2023-09-15 00:00:00,6.539999961853027
150,DG,Dollar General,Consumer Discretionary,2023-09-15 00:00:00,115.68000030517578
151,DLTR,Dollar Tree,Consumer Discretionary,2023-09-15 00:00:00,112.3499984741211
152,D,Dominion Energy,Utilities,2023-09-15 00:00:00,48.470001220703125
153,DOV,Dover Corp.,Industrials,2023-09-15 00:00:00,144.4499969482422
154,DWDP,DowDuPont,Materials,2023-09-15 00:00:00,
155,DPS,Dr Pepper Snapple Group,Consumer Staples,2023-09-15 00:00:00,
156,DTE,DTE Energy Co.,Utilities,2023-09-15 00:00:00,106.77999877929688
157,DUK,Duke Energy,Utilities,2023-09-15 00:00:00,95.18000030517578
158,DRE,Duke Realty Corp,Real Estate,2023-09-15 00:00:00,
159,DXC,DXC Technology,Information Technology,2023-09-15 00:00:00,20.690000534057617
